Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X	ensembl_gene_id	external_gene_name	gene_biotype	description	percentage_gene_gc_content
1415834_at	-0.611199033424363	10.8846768161029	-4.31836290176559	0.000141354417867756	0.0104503760110311	0.937885104072794	109	ENSMUSG00000019960	Dusp6	protein_coding	Dual specificity protein phosphatase 6  [Source:UniProtKB/Swiss-Prot;Acc:Q9DBB1]	47.5
1415906_at	0.304219209210908	13.1079413313285	3.5996745078792	0.00105910697698711	0.0394278335922926	-0.946784630415483	160	ENSMUSG00000049775	Tmsb4x	protein_coding	thymosin, beta 4, X chromosome [Source:MGI Symbol;Acc:MGI:99510]	47.77
1415932_x_at	1.19434813851033	10.2563733009872	4.85260025442845	3.02729142865658e-05	0.0035446498166432	2.3914780897299	326	ENSMUSG00000027546	Atp9a	protein_coding	Mus musculus ATPase, class II, type 9A (Atp9a), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001354977]	50.89
1415945_at	1.16337261269908	5.86187805885219	4.55784925692389	7.10573749937789e-05	0.0064103038151348	1.58584604482447	597	ENSMUSG00000005410	Mcm5	protein_coding	minichromosome maintenance complex component 5 [Source:MGI Symbol;Acc:MGI:103197]	46.5
1415978_at	1.36996379673153	8.81909203653559	3.92474881050272	0.000430811919590353	0.0212099728784367	-0.10791675530702	213	ENSMUSG00000062380	Tubb3	protein_coding	tubulin, beta 3 class III [Source:MGI Symbol;Acc:MGI:107813]	50.51
1415983_at	1.64927379765723	9.76183319827636	7.41499027203579	1.91222631412147e-08	1.48104260012018e-05	9.34983047256442	644	ENSMUSG00000021998	Lcp1	protein_coding	Plastin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q61233]	42.91
1416029_at	0.711019986413048	9.49667226093749	3.83134698103687	0.000559108824908485	0.0253998579899412	-0.351587755265665	376	ENSMUSG00000037465	Klf10	protein_coding	Mus musculus Kruppel-like factor 10 (Klf10), transcript variant 3, mRNA. [Source:RefSeq mRNA;Acc:NM_001357677]	49.56
1416036_at	0.790055333010844	10.7147814005334	5.19749935280498	1.10935138630519e-05	0.00175260961552843	3.34098290481217	273	ENSMUSG00000032966	Fkbp1a	protein_coding	Peptidyl-prolyl cis-trans isomerase FKBP1A  [Source:UniProtKB/Swiss-Prot;Acc:P26883]	45.93
1416067_at	-0.335412893756981	11.7893454506867	-4.77649497075993	3.7754696315665e-05	0.00416284854688868	2.18279101248697	115	ENSMUSG00000001627	Ifrd1	protein_coding	Interferon-related developmental regulator 1  [Source:UniProtKB/Swiss-Prot;Acc:P19182]	41.54
1416079_a_at	0.625709226424746	11.8202049336719	5.25372863784298	9.41610079679859e-06	0.00155733479584552	3.49614211481844	159	ENSMUSG00000029621	Arpc1a	protein_coding	Actin-related protein 2/3 complex subunit 1A  [Source:UniProtKB/Swiss-Prot;Acc:Q9R0Q6]	46.85
1416098_at	0.887947574857076	5.42629961977348	4.02893356971473	0.00032151418329172	0.0175424104646539	0.166104748154615	650	ENSMUSG00000007021	Syngr3	protein_coding	Synaptogyrin-3  [Source:UniProtKB/Swiss-Prot;Acc:Q8R191]	53.74
1416101_a_at	0.484495796201726	11.3745214032339	3.78679672855932	0.000632753128397107	0.0277791211939916	-0.467100875758092	518	ENSMUSG00000036181	Hist1h1c	protein_coding	histone cluster 1, H1c [Source:MGI Symbol;Acc:MGI:1931526]	55.06
1416204_at	1.12195885750624	7.70181782230954	5.3521466524785	7.06688739899502e-06	0.00124671671863937	3.7678124533994	995	ENSMUSG00000023019	Gpd1	protein_coding	glycerol-3-phosphate dehydrogenase 1 (soluble) [Source:MGI Symbol;Acc:MGI:95679]	54.69
1416226_at	0.780037022333936	10.0069325786067	4.7769797798994	3.77016557548905e-05	0.00416284854688868	2.18411911071587	815	ENSMUSG00000029622	Arpc1b	protein_coding	Actin-related protein 2/3 complex subunit 1B  [Source:UniProtKB/Swiss-Prot;Acc:Q9WV32]	52.77
1416332_at	0.670422454215972	8.98333412556418	3.82920497336465	0.000562450167057753	0.0255151500784556	-0.357152516799954	756	ENSMUSG00000045193	Cirbp	protein_coding	Cold-inducible RNA-binding protein  [Source:UniProtKB/Swiss-Prot;Acc:P60824]	53.35
1416361_a_at	1.56820241576781	6.36230626988913	4.85864195730049	2.97463685029907e-05	0.00351150904019506	2.40806147163822	858	ENSMUSG00000029757	Dync1i1	protein_coding	Cytoplasmic dynein 1 intermediate chain 1  [Source:UniProtKB/Swiss-Prot;Acc:O88485]	41.56
