ensembl_gene_id	Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	X.x	external_gene_name.x	gene_biotype	description	percentage_gene_gc_content	X.y	ensembl_gene_id.y	external_gene_name.y	mmusculus_homolog_orthology_type
ENSMUSG00000000202	1428303_at	-1.85046916165402	8.54480869104604	-8.67548411024833	6.32802807677827e-10	1.34863444012144e-07	12.7179540100054	13665	Btbd17	protein_coding	BTB/POZ domain-containing protein 17  [Source:UniProtKB/Swiss-Prot;Acc:Q9DB72]	56.02	22871	ENSG00000204347	BTBD17	ortholog_one2one
ENSMUSG00000000632	1427674_a_at	0.871024158386719	6.85585905733697	3.64184284085546	0.000943680913030049	0.00911947273075752	-1.14496355450531	13161	Sez6	protein_coding	Seizure protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q7TSK2]	51.55	919	ENSG00000063015	SEZ6	ortholog_one2one
ENSMUSG00000000753	1416168_at	-1.03603004304981	7.37229634300659	-5.07148165510161	1.60158681476174e-05	0.00584579187388034	3.00359426265564	996	Serpinf1	protein_coding	Pigment epithelium-derived factor  [Source:UniProtKB/Swiss-Prot;Acc:P97298]	49.44	7438	ENSG00000132386	SERPINF1	ortholog_one2one
ENSMUSG00000000753	1453724_a_at	-1.01893325149706	4.85102875324951	-4.82839583338525	3.24768960388911e-05	0.00972928145014139	2.3563115022493	33956	Serpinf1	protein_coding	Pigment epithelium-derived factor  [Source:UniProtKB/Swiss-Prot;Acc:P97298]	49.44	7438	ENSG00000132386	SERPINF1	ortholog_one2one
ENSMUSG00000003316	1448580_at	0.28743682128907	9.94672931361224	3.33554852857662	0.0021598155876267	0.0172627596237317	-1.92983092122578	28896	Glg1	protein_coding	Golgi apparatus protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q61543]	41.82	2074	ENSG00000090863	GLG1	ortholog_one2one
ENSMUSG00000003779	1449207_a_at	0.75568755789297	6.45405974649051	4.56552894232768	6.95008685622175e-05	0.00120799128691473	1.36379647462039	29002	Kif20a	protein_coding	Kinesin-like protein KIF20A  [Source:UniProtKB/Swiss-Prot;Acc:P97329]	46.89	4473	ENSG00000112984	KIF20A	ortholog_one2one
ENSMUSG00000003849	1423627_at	0.405018359135637	9.80118665332794	4.30773536086769	0.000145713972843903	0.00215016134184858	0.64756525837139	8569	Nqo1	protein_coding	NAD(P)H dehydrogenase [quinone] 1  [Source:UniProtKB/Swiss-Prot;Acc:Q64669]	46.88	16791	ENSG00000181019	NQO1	ortholog_one2one
ENSMUSG00000004347	1436251_at	0.569611531280753	6.84644701298434	3.07119418510908	0.00431948165096344	0.0288525746374304	-2.58038535816513	21002	Pde1c	protein_coding	phosphodiesterase 1C [Source:MGI Symbol;Acc:MGI:108413]	40.4	10982	ENSG00000154678	PDE1C	ortholog_one2one
ENSMUSG00000004394	1448422_at	0.137407252627114	11.9436471820116	2.80823580752911	0.0084067607443331	0.0467688660540115	-3.19822606381425	28342	Tmed4	protein_coding	Transmembrane emp24 domain-containing protein 4  [Source:UniProtKB/Swiss-Prot;Acc:Q8R1V4]	47.29	11450	ENSG00000158604	TMED4	ortholog_one2one
ENSMUSG00000004892	1416718_at	-0.448649337949071	12.1791515158753	-3.93037060707547	0.000424083339525327	0.00492923636096314	-0.380569054329606	1644	Bcan	protein_coding	Brevican core protein  [Source:UniProtKB/Swiss-Prot;Acc:Q61361]	56.31	7508	ENSG00000132692	BCAN	ortholog_one2one
